"","country","year","yIndex","xIndex"
"1","A",2006,9,0.419803468492755
"2","A",2007,6,0.441045445857873
"3","A",2008,7,0.462287408425312
"4","A",2009,10,0.404033946049917
"5","A",2010,11,0.492653707768242
"6","A",2011,11,0.51876663665895
"7","A",2012,10,0.52998363140098
"8","A",2013,10,0.307451542933123
"9","A",2014,11,0.463749714922742
"10","A",2015,8,0.478363383371779
"11","B",2006,2,0.241175841512848
"12","B",2007,7,0.334528004101679
"13","B",2008,6,0.457480752808762
"14","B",2009,11,0.642681485968576
"15","B",2010,11,0.639016071639227
"16","B",2011,10,0.615258074752303
"17","B",2012,8,0.688898450819297
"18","B",2013,9,0.718843978200535
"19","B",2014,7,0.631628360707952
"20","B",2015,6,0.399477445172681
"21","C",2006,6,0.933539309113008
"22","C",2007,4,0.866469782580091
"23","C",2008,7,0.905657939371311
"24","C",2009,9,0.987652817835913
"25","C",2010,11,0.835044309869761
"26","C",2011,9,0.857532458853726
"27","C",2012,8,0.858014271235392
"28","C",2013,11,1
"29","C",2014,11,0.853631139948562
"30","C",2015,12,0.872954716798199
"31","D",2006,9,0.125950284657004
"32","D",2007,14,0.460611763810362
"33","D",2008,8,0.307580299375366
"34","D",2009,13,0.385811131440489
"35","D",2010,11,0.47152494743421
"36","D",2011,16,0.402018916699907
"37","D",2012,13,0.523311181012709
"38","D",2013,13,0.460281568433073
"39","D",2014,9,0.397112088205049
"40","D",2015,5,0.242099886188102
"41","E",2006,9,0.50667768876613
"42","E",2007,10,0.489881732817514
"43","E",2008,9,0.47308576207122
"44","E",2009,8,0.160521003734756
"45","E",2010,8,0.972556108797971
"46","E",2011,0,0.440549353717351
"47","E",2012,11,0.585183511622658
"48","E",2013,13,0.638132295144059
"49","E",2014,8,0.627468526375647
"50","E",2015,8,0.583020564687663
"51","F",2006,9,0
"52","F",2007,11,0.36113482027895
"53","F",2008,11,0.722269640557901
"54","F",2009,16,0.546176863144508
"55","F",2010,16,0.715086729484189
"56","F",2011,8,0.738300467790102
"57","F",2012,11,0.975412297331748
"58","F",2013,12,0.771832863428149
"59","F",2014,3,0.673233895702299
"60","F",2015,14,0.42053997850075
"61","G",2006,9,0.750976543135852
"62","G",2007,6,0.827365617406757
"63","G",2008,9,0.903754721273017
"64","G",2009,9,0.660550303136344
"65","G",2010,10,0.880855196852617
"66","G",2011,9,0.821634772837596
"67","G",2012,8,0.669642203402602
"68","G",2013,11,0.906388589498988
"69","G",2014,11,0.898889600032389
"70","G",2015,11,0.894631183572116
