"","id","num_awards","prog","math"
"1","45",0,"Vocational",41
"2","108",0,"General",41
"3","15",0,"Vocational",44
"4","67",0,"Vocational",42
"5","153",0,"Vocational",40
"6","51",0,"General",42
"7","164",0,"Vocational",46
"8","133",0,"Vocational",40
"9","2",0,"Vocational",33
"10","53",0,"Vocational",46
"11","1",0,"Vocational",40
"12","128",0,"Academic",38
"13","16",0,"Vocational",44
"14","106",0,"Vocational",37
"15","89",0,"Vocational",40
"16","134",0,"General",39
"17","19",0,"General",43
"18","145",0,"Vocational",38
"19","11",0,"Academic",45
"20","117",0,"Vocational",39
"21","109",0,"General",42
"22","12",0,"Vocational",45
"23","37",0,"Vocational",40
"24","69",0,"Vocational",40
"25","43",0,"Academic",43
"26","196",0,"Academic",49
"27","36",1,"General",44
"28","155",1,"General",46
"29","6",0,"Academic",46
"30","4",1,"Academic",41
"31","25",0,"General",42
"32","107",0,"Vocational",47
"33","5",1,"Academic",43
"34","47",0,"Academic",49
"35","140",1,"Vocational",40
"36","22",1,"Vocational",39
"37","18",0,"Vocational",49
"38","30",0,"Academic",42
"39","40",0,"General",43
"40","176",0,"Academic",41
"41","126",0,"General",57
"42","197",0,"Academic",50
"43","46",0,"Academic",44
"44","49",0,"Vocational",39
"45","8",0,"Academic",52
"46","124",1,"Vocational",41
"47","13",0,"Vocational",39
"48","111",0,"General",39
"49","142",0,"Vocational",52
"50","193",1,"Academic",48
"51","105",0,"Academic",45
"52","58",0,"Vocational",40
"53","129",0,"General",46
"54","38",3,"Academic",50
"55","182",0,"Academic",43
"56","115",0,"General",43
"57","14",1,"Academic",54
"58","175",1,"General",42
"59","44",0,"Vocational",45
"60","86",0,"General",54
"61","72",0,"Vocational",47
"62","41",1,"Academic",45
"63","191",0,"Academic",43
"64","138",1,"Vocational",40
"65","9",0,"Vocational",52
"66","151",1,"Vocational",52
"67","119",0,"General",45
"68","55",0,"Academic",49
"69","73",1,"Academic",53
"70","28",0,"General",54
"71","90",2,"Academic",50
"72","17",0,"Academic",48
"73","102",0,"Academic",51
"74","70",0,"General",41
"75","148",1,"Vocational",51
"76","54",0,"General",46
"77","42",0,"Vocational",55
"78","87",0,"General",46
"79","21",0,"General",61
"80","181",0,"Academic",45
"81","165",0,"Vocational",54
"82","78",0,"Academic",54
"83","76",1,"Academic",51
"84","29",0,"General",49
"85","91",0,"Vocational",56
"86","52",0,"Academic",53
"87","10",1,"General",49
"88","85",0,"General",57
"89","50",0,"General",42
"90","56",0,"Vocational",46
"91","64",0,"Vocational",45
"92","130",0,"General",55
"93","141",0,"Vocational",47
"94","74",0,"Academic",50
"95","83",0,"Vocational",41
"96","31",0,"General",52
"97","172",1,"Academic",57
"98","184",0,"Vocational",53
"99","75",1,"Vocational",51
"100","187",0,"General",57
"101","113",0,"Academic",51
"102","162",0,"Vocational",40
"103","110",0,"Vocational",50
"104","150",0,"Vocational",57
"105","167",0,"General",35
"106","77",0,"Academic",49
"107","35",0,"General",50
"108","158",1,"General",55
"109","112",0,"Academic",48
"110","48",0,"Academic",52
"111","147",1,"Academic",53
"112","7",1,"Academic",59
"113","65",2,"Academic",66
"114","168",0,"Academic",57
"115","190",1,"Academic",54
"116","178",0,"Vocational",57
"117","159",1,"Academic",54
"118","120",0,"Academic",54
"119","116",0,"Academic",54
"120","79",2,"Academic",49
"121","98",1,"Vocational",51
"122","122",3,"Academic",58
"123","179",1,"Academic",60
"124","198",0,"Academic",51
"125","189",0,"Academic",63
"126","199",1,"Academic",50
"127","156",1,"Academic",53
"128","166",0,"Academic",53
"129","160",0,"Academic",55
"130","152",1,"Academic",56
"131","183",0,"Academic",49
"132","94",1,"Academic",61
"133","149",0,"General",49
"134","131",0,"Academic",57
"135","24",0,"Academic",66
"136","99",0,"General",56
"137","171",3,"Academic",60
"138","104",1,"Academic",57
"139","81",0,"Academic",59
"140","97",0,"Academic",58
"141","20",0,"Academic",57
"142","163",3,"Academic",64
"143","195",0,"General",60
"144","84",0,"General",54
"145","27",1,"Academic",61
"146","118",1,"General",58
"147","71",0,"General",56
"148","63",0,"General",60
"149","185",0,"Academic",55
"150","127",3,"Academic",57
"151","177",0,"Academic",62
"152","188",0,"Academic",56
"153","60",0,"Academic",51
"154","66",2,"Vocational",56
"155","173",0,"General",61
"156","186",1,"Academic",63
"157","96",5,"Academic",61
"158","101",0,"Academic",67
"159","3",0,"Academic",48
"160","170",1,"Academic",61
"161","92",0,"General",57
"162","62",0,"General",48
"163","135",2,"Academic",65
"164","26",4,"Academic",62
"165","139",1,"Academic",61
"166","121",0,"Vocational",53
"167","144",1,"General",58
"168","146",1,"Academic",64
"169","137",3,"Academic",65
"170","123",1,"General",56
"171","169",1,"General",63
"172","34",3,"Academic",57
"173","33",2,"Academic",72
"174","32",0,"Vocational",66
"175","114",0,"Academic",62
"176","125",1,"Academic",58
"177","59",1,"Academic",63
"178","23",3,"Academic",64
"179","161",2,"Academic",72
"180","103",0,"Academic",64
"181","194",6,"Academic",69
"182","136",4,"Academic",70
"183","154",1,"Academic",66
"184","157",0,"General",58
"185","93",2,"Academic",62
"186","39",2,"Academic",67
"187","88",1,"Academic",64
"188","192",2,"Academic",63
"189","80",1,"Academic",68
"190","200",1,"Academic",75
"191","180",0,"Academic",69
"192","82",1,"Academic",65
"193","174",2,"Academic",71
"194","95",5,"Academic",71
"195","61",1,"Academic",60
"196","100",2,"Academic",71
"197","143",2,"Vocational",75
"198","68",1,"Academic",71
"199","57",0,"Academic",72
"200","132",3,"Academic",73
