"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
100,100,20,1,7,5,"Democrat",NA,56,1,0
74,6,22,3,6,2,"Independent",2,59,1,1
50,50,5,7,2,5,"Republican",4,53,1,0
64,61,61,2,6,4,"Democrat",2,36,1,0
58,61,22,7,1,4,NA,4,42,1,0
51,50,11,7,1,7,"Independent",4,58,1,0
70,100,100,2,7,2,"Democrat",1,38,1,0
70,70,40,7,3,4,"Republican",5,65,1,0
50,50,12,7,1,4,"Independent",4,43,1,0
90,75,72,2,6,3,"Democrat",2,80,1,0
52,53,43,7,2,2,"Republican",4,38,1,0
80,80,50,7,3,3,"Independent",4,73,1,1
90,88,81,2,5,3,"Democrat",3,80,1,0
74,67,53,7,2,4,"Republican",5,78,1,1
99,99,2,7,3,2,"Republican",4,60,1,1
63,74,61,7,1,7,"Independent",3,32,0,0
58,63,61,1,6,4,"Democrat",3,35,1,0
81,80,60,2,4,2,"Democrat",3,71,1,1
95,100,15,7,1,1,"Independent",5,55,1,0
94,92,60,2,6,4,"Democrat",2,58,1,1
81,95,100,1,5,3,"Democrat",2,66,1,1
71,71,1,6,2,3,"Republican",5,61,1,0
51,61,50,3,7,5,"Independent",1,62,1,0
87,84,79,1,7,1,"Democrat",2,71,1,1
58,39,46,2,5,3,"Democrat",1,38,1,0
80,79,63,5,5,3,"Independent",3,35,1,0
50,50,51,7,2,3,"Republican",4,67,1,1
88,56,77,3,6,4,"Democrat",2,72,1,1
75,64,64,2,7,1,"Democrat",2,61,1,1
56,58,53,1,5,3,"Democrat",2,65,1,1
51,54,50,1,997,4,"Republican",5,22,1,1
62,88,72,3,7,3,"Democrat",1,66,1,0
99,51,6,7,1,6,"Independent",5,63,1,0
53,50,6,7,2,3,"Republican",5,45,1,1
63,60,58,2,5,4,"Democrat",3,49,1,0
85,70,59,2,6,6,"Democrat",1,71,1,0
69,81,80,2,7,1,"Democrat",1,68,1,1
81,80,11,2,4,4,"Independent",3,40,1,0
60,60,31,7,3,4,"Independent",3,61,1,0
67,71,1,7,2,4,"Republican",3,59,1,1
81,67,13,2,6,3,"Democrat",4,63,1,0
100,100,100,2,4,4,"Democrat",1,43,1,1
55,60,20,7,3,2,"Independent",4,72,1,0
99,62,100,1,7,1,"Democrat",3,60,1,0
99,95,80,2,6,4,"Democrat",2,67,1,0
10,19,0,7,1,6,"Independent",3,54,1,0
100,9,9,7,5,2,"Democrat",4,64,1,1
66,62,56,5,5,7,"Democrat",3,44,0,0
94,97,99,1,7,2,"Democrat",2,56,1,1
75,59,0,7,3,3,"Independent",5,38,1,0
72,52,31,4,5,4,"Democrat",1,40,1,1
51,69,51,1,6,4,"Democrat",3,39,1,0
50,41,40,7,3,5,"Republican",4,76,1,0
91,91,88,3,4,2,"Democrat",1,33,0,1
59,50,29,7,3,4,"Republican",4,38,1,1
84,84,75,3,2,3,NA,NA,38,0,0
84,41,1,7,2,3,NA,5,42,1,0
87,86,69,2,7,2,"Independent",3,43,1,1
100,49,22,6,3,4,"Independent",3,46,1,0
54,50,50,5,4,7,"Republican",3,39,1,0
100,100,100,7,1,4,"Republican",5,54,1,0
98,71,66,2,5,2,"Republican",4,27,1,1
71,81,90,1,7,4,"Democrat",2,56,1,1
50,50,35,6,3,5,"Independent",4,48,1,0
5,100,100,1,7,7,"Democrat",1,47,0,0
65,66,65,2,5,3,"Independent",3,32,1,0
37,50,29,6,6,6,"Democrat",2,58,0,0
80,75,75,2,7,3,"Democrat",1,80,1,0
51,51,8,7,1,3,"Independent",4,49,1,0
100,100,0,7,1,7,NA,4,42,1,0
50,51,50,6,3,4,"Independent",4,52,1,1
84,93,94,1,7,4,"Independent",1,57,1,0
99,22,3,3,6,4,"Democrat",1,60,1,0
72,50,4,7,3,1,"Independent",3,74,1,0
47,46,51,2,4,2,"Independent",3,78,1,1
91,50,49,7,2,4,"Independent",4,63,1,0
80,75,60,1,4,4,"Democrat",2,80,1,1
50,50,50,7,1,2,"Independent",5,55,1,0
62,62,0,7,1,2,"Republican",5,63,1,0
99,99,51,7,997,3,"Independent",3,55,1,0
72,70,71,7,3,3,NA,3,69,1,1
51,56,52,3,2,4,"Independent",1,43,0,1
90,90,50,1,6,2,"Democrat",3,64,0,1
50,88,3,3,2,4,"Democrat",2,52,0,1
75,60,52,3,4,5,"Republican",3,62,1,0
50,50,50,7,2,4,"Republican",5,49,1,1
50,50,90,2,7,3,"Democrat",2,53,1,0
50,50,50,4,997,3,"Independent",3,30,0,1
81,75,18,6,3,4,"Independent",4,70,1,1
49,50,1,7,5,1,"Independent",3,47,1,0
90,95,95,2,7,5,"Democrat",2,30,1,1
100,100,50,1,7,1,"Democrat",2,60,1,0
100,100,47,7,1,1,"Independent",4,63,1,1
90,90,65,2,5,1,"Democrat",3,76,1,1
96,94,94,2,7,2,"Democrat",2,65,1,0
54,91,99,2,4,4,"Independent",3,43,1,1
99,99,41,7,1,4,"Republican",5,83,1,1
80,80,50,7,2,4,"Independent",4,56,1,0
71,72,79,2,4,4,"Independent",1,48,1,1
100,0,0,7,3,1,"Independent",4,73,1,0
55,92,78,2,5,5,"Independent",1,79,1,0
50,51,40,7,1,3,"Republican",4,54,1,0
100,100,51,1,7,1,"Democrat",2,54,1,0
100,34,50,1,1,1,"Democrat",1,72,0,1
50,50,50,5,3,5,"Independent",NA,39,1,0
82,100,80,1,997,NA,NA,NA,25,0,1
50,50,50,7,1,7,NA,5,51,1,0
71,89,69,2,4,3,"Democrat",3,73,1,1
50,50,40,3,7,4,"Democrat",2,61,1,0
100,100,31,7,1,4,"Republican",4,62,1,1
73,73,0,7,1,4,"Republican",4,85,1,0
95,95,70,2,5,3,"Democrat",3,63,1,0
90,2,2,7,2,1,"Independent",4,67,1,0
95,75,3,7,2,1,"Republican",4,84,1,1
64,61,58,2,4,4,"Democrat",2,43,1,1
52,52,50,4,997,4,"Independent",NA,43,1,1
35,60,50,2,4,4,"Independent",3,44,1,0
45,71,69,2,7,1,"Democrat",5,55,1,0
74,26,18,3,3,5,"Independent",4,52,1,0
85,80,72,2,5,3,"Democrat",3,64,1,0
55,41,40,6,4,4,NA,3,44,1,1
51,100,31,7,6,3,"Independent",NA,69,1,1
70,72,1,7,4,4,"Democrat",3,71,0,0
100,100,50,7,4,3,"Republican",5,53,1,1
52,50,51,2,3,1,"Independent",NA,64,1,0
87,78,78,2,6,2,"Democrat",2,55,1,1
75,73,50,5,5,2,"Democrat",3,77,1,1
51,50,0,7,2,4,NA,5,79,1,0
85,78,49,6,997,4,"Republican",4,62,1,0
72,71,72,1,4,3,"Democrat",1,50,1,1
45,80,50,2,5,4,"Democrat",1,41,0,1
59,61,51,2,3,3,"Republican",3,59,1,0
55,50,52,7,2,1,"Independent",NA,58,1,0
50,50,34,6,4,3,"Republican",4,57,1,1
81,89,72,2,4,2,"Democrat",2,54,0,0
99,62,10,7,1,2,"Democrat",3,75,1,1
61,50,50,5,1,2,"Republican",3,75,1,1
96,90,8,4,997,2,"Republican",NA,66,1,1
45,48,2,6,1,4,"Democrat",4,78,0,0
62,61,35,7,1,4,"Democrat",4,56,1,0
63,50,45,4,4,3,"Democrat",3,38,0,0
86,90,79,7,3,2,"Independent",3,68,1,1
100,80,79,1,6,2,"Democrat",1,57,1,0
60,57,95,2,7,4,"Democrat",1,55,0,0
75,75,51,2,6,4,"Independent",3,60,1,1
100,76,2,6,997,4,"Republican",4,39,1,0
45,95,71,2,5,3,"Democrat",3,57,0,0
45,50,18,7,1,2,"Republican",3,61,1,1
74,15,10,7,4,2,"Republican",4,34,1,0
75,60,56,1,3,2,"Democrat",2,51,1,0
50,12,50,7,1,4,"Independent",4,41,1,1
78,23,0,7,997,4,"Republican",3,52,1,1
100,1,1,7,2,3,"Republican",5,63,1,0
92,88,21,5,4,2,"Republican",4,66,1,1
96,45,33,7,2,3,"Republican",4,61,1,1
68,66,37,2,4,3,NA,4,44,1,0
85,95,90,1,4,2,"Democrat",3,61,0,0
100,100,66,7,1,2,"Republican",5,52,1,0
95,92,0,7,7,1,"Independent",4,58,1,0
100,99,100,2,7,3,"Democrat",1,63,1,0
95,70,15,7,2,4,"Republican",5,74,1,1
100,100,22,7,5,1,"Independent",3,66,1,1
100,100,80,2,4,3,"Democrat",1,52,0,1
86,86,10,2,2,3,"Democrat",3,70,1,0
35,48,14,3,997,4,"Democrat",3,44,0,1
92,72,21,7,1,3,"Republican",4,78,1,0
85,93,13,7,2,5,"Republican",4,62,1,0
73,60,50,6,3,4,"Independent",3,62,1,1
50,50,30,6,1,5,"Independent",4,26,1,0
51,50,48,2,4,5,"Democrat",2,35,0,1
100,9,0,7,1,2,"Independent",4,66,1,0
51,55,11,7,997,4,"Independent",NA,36,1,1
88,87,73,2,5,3,"Democrat",2,76,1,1
100,100,0,7,1,1,"Republican",5,80,1,0
55,100,100,1,6,5,"Democrat",1,55,0,1
61,19,6,7,1,2,"Republican",4,30,1,1
98,51,6,7,4,2,"Independent",4,62,1,0
