Series id,Year,Period,Value
LNU04000000,2007,M01,5.0
LNU04000000,2007,M02,4.9
LNU04000000,2007,M03,4.5
LNU04000000,2007,M04,4.3
LNU04000000,2007,M05,4.3
LNU04000000,2007,M06,4.7
LNU04000000,2007,M07,4.9
LNU04000000,2007,M08,4.6
LNU04000000,2007,M09,4.5
LNU04000000,2007,M10,4.4
LNU04000000,2007,M11,4.5
LNU04000000,2007,M12,4.8
LNU04000000,2008,M01,5.4
LNU04000000,2008,M02,5.2
LNU04000000,2008,M03,5.2
LNU04000000,2008,M04,4.8
LNU04000000,2008,M05,5.2
LNU04000000,2008,M06,5.7
LNU04000000,2008,M07,6.0
LNU04000000,2008,M08,6.1
LNU04000000,2008,M09,6.0
LNU04000000,2008,M10,6.1
LNU04000000,2008,M11,6.5
LNU04000000,2008,M12,7.1
LNU04000000,2009,M01,8.5
LNU04000000,2009,M02,8.9
LNU04000000,2009,M03,9.0
LNU04000000,2009,M04,8.6
LNU04000000,2009,M05,9.1
LNU04000000,2009,M06,9.7
LNU04000000,2009,M07,9.7
LNU04000000,2009,M08,9.6
LNU04000000,2009,M09,9.5
LNU04000000,2009,M10,9.5
LNU04000000,2009,M11,9.4
LNU04000000,2009,M12,9.7
LNU04000000,2010,M01,10.6
LNU04000000,2010,M02,10.4
LNU04000000,2010,M03,10.2
LNU04000000,2010,M04,9.5
LNU04000000,2010,M05,9.3
LNU04000000,2010,M06,9.6
LNU04000000,2010,M07,9.7
LNU04000000,2010,M08,9.5
LNU04000000,2010,M09,9.2
LNU04000000,2010,M10,9.0
LNU04000000,2010,M11,9.3
LNU04000000,2010,M12,9.1
LNU04000000,2011,M01,9.8
LNU04000000,2011,M02,9.5
LNU04000000,2011,M03,9.2
LNU04000000,2011,M04,8.7
LNU04000000,2011,M05,8.7
LNU04000000,2011,M06,9.3
LNU04000000,2011,M07,9.3
LNU04000000,2011,M08,9.1
LNU04000000,2011,M09,8.8
LNU04000000,2011,M10,8.5
LNU04000000,2011,M11,8.2
LNU04000000,2011,M12,8.3
LNU04000000,2012,M01,8.8
LNU04000000,2012,M02,8.7
LNU04000000,2012,M03,8.4
LNU04000000,2012,M04,7.7
LNU04000000,2012,M05,7.9
LNU04000000,2012,M06,8.4
LNU04000000,2012,M07,8.6
LNU04000000,2012,M08,8.2
LNU04000000,2012,M09,7.6
LNU04000000,2012,M10,7.5
LNU04000000,2012,M11,7.4
LNU04000000,2012,M12,7.6
LNU04000000,2013,M01,8.5
LNU04000000,2013,M02,8.1
LNU04000000,2013,M03,7.6
LNU04000000,2013,M04,7.1
LNU04000000,2013,M05,7.3
LNU04000000,2013,M06,7.8
LNU04000000,2013,M07,7.7
LNU04000000,2013,M08,7.3
LNU04000000,2013,M09,7.0
LNU04000000,2013,M10,7.0
LNU04000000,2013,M11,6.6
LNU04000000,2013,M12,6.5
LNU04000000,2014,M01,7.0
LNU04000000,2014,M02,7.0
LNU04000000,2014,M03,6.8
LNU04000000,2014,M04,5.9
LNU04000000,2014,M05,6.1
LNU04000000,2014,M06,6.3
LNU04000000,2014,M07,6.5
LNU04000000,2014,M08,6.3
LNU04000000,2014,M09,5.7
LNU04000000,2014,M10,5.5
LNU04000000,2014,M11,5.5
LNU04000000,2014,M12,5.4
LNU04000000,2015,M01,6.1
LNU04000000,2015,M02,5.8
LNU04000000,2015,M03,5.6
LNU04000000,2015,M04,5.1
LNU04000000,2015,M05,5.3
LNU04000000,2015,M06,5.5
LNU04000000,2015,M07,5.6
LNU04000000,2015,M08,5.2
LNU04000000,2015,M09,4.9
LNU04000000,2015,M10,4.8
LNU04000000,2015,M11,4.8
LNU04000000,2015,M12,4.8
LNU04000000,2016,M01,5.3
LNU04000000,2016,M02,5.2
LNU04000000,2016,M03,5.1
LNU04000000,2016,M04,4.7
LNU04000000,2016,M05,4.5
LNU04000000,2016,M06,5.1
LNU04000000,2016,M07,5.1
LNU04000000,2016,M08,5.0
LNU04000000,2016,M09,4.8
LNU04000000,2016,M10,4.7
LNU04000000,2016,M11,4.4
LNU04000000,2016,M12,4.5
LNU04000000,2017,M01,5.1
