Date,flight prices,the florida keys,florida beach resorts,planning a trip,resorts florida,exercise,florida beach house,key florida,keys florida,hotels in florida,longboat key,weights,cay,family resorts,south beach miami,buying a house,shore excursions,island florida,longboat,destin florida rentals,florida homes for sale,key west florida,breakfast key west,hotels clearwater,suites orlando,vacation in florida,axles,clearwater beach florida,st petersburg beach,resort packages,key largo,marathon key,all inclusive aruba,family beach vacations,cruise prices,plan a,marathon florida,bed and breakfast key west,universal studios vacation,florida resorts,diet,lido key,beach houses for rent,florida disney,stanford summer,us virgin islands,hotels daytona,pine key,florida for sale,to do in cancun,vacation house rentals,florida cheap,cruise bahamas,diet snacks,vacation all inclusive,key west beaches,house key,homes for sale florida,hotels in san juan,key west,beach houses,all inclusive caribbean,high school internships,las vegas flights,siesta keys,inclusive resort,sirata beach,camping in florida,passport renewal,low carb meals,florida vacation spots,sirata beach resort,petersburg,body fat,high school summer programs,wedding sandals,living in florida,carb meals,treasure island florida,hawaii packages,hawaii flights,rentals florida keys,hopper pass,summer hockey camps,camp themes,creatine,all inclusive resort,rosacea,banyan,big pine key,hawaiian inn,sugar alcohol,bride dresses,rentals orlando,college summer programs,summer high,duck key,west florida,bavaro,miami beach hotels
1/4/04,5.811,1.81,1.149,2.841,1.446,3.592,3.774,1.915,1.725,2.249,1.955,1.435,3.243,1.361,1.588,1.065,-0.582,1.502,2.265,1.031,2.28,2.925,3.97,-0.289,1.058,0.041,0.604,-0.289,4.09,4.335,1.185,2.122,2.163,0.638,2.887,1.002,3.318,4.069,1.36,3.543,5.764,1.088,0.01,2.793,0.881,3.067,1.383,2.802,1.31,0.43,1.064,2.092,1.412,6.428,1.852,1.329,1.49,3.899,2.155,2.936,1.3,1.619,3.143,0.493,0.36,0.653,1.62,1.984,1.079,8.675,0.934,0.944,0.914,2.285,1.828,0.663,3.891,7.867,1.165,4.355,1.099,4.08,2.513,3.778,0.661,1.511,0.469,1.468,3.936,2.652,0.711,4.912,-0.064,2.548,1.685,2.108,0.98,3.564,2.096,4.655
1/11/04,2.901,2.762,1.394,0.66,2.17,3.253,1.266,1.762,1.541,2.533,1.72,2.189,1.806,1.098,1.937,1.933,1.128,1.5,2.311,0.968,1.281,2.613,1.507,-0.3,2.7,0.675,0.738,0.031,0.292,2.318,1.661,2.654,3.271,-0.559,3.652,1.144,2.242,1.36,0.714,3.377,4.955,1.397,0.115,0.63,0.572,3.329,1.722,1.443,1.162,1.703,0.592,1.387,2.721,2.385,2.358,1.338,1.951,1.513,0.988,3.478,2.421,2.09,0.694,1.153,-0.371,1.453,2.193,-0.59,1.024,6.245,2.395,2.248,1.301,2.457,2.302,2.454,0.992,6.054,0.361,2.86,2.338,1.711,1.632,0.578,0.196,1.471,1.16,1.065,3.539,1.523,3.663,5.407,0.181,0.79,1.68,1.254,1.774,3.326,2.728,3.687
1/18/04,1.575,2.127,1.901,0.707,2.768,3.057,2,2.37,0.729,2.315,1.929,2.185,1.709,1.026,1.687,1.297,1.677,1.666,2.392,-0.18,2.224,2.681,3.257,0.981,1.555,0.261,0.681,1.23,0.265,2.47,1.885,3.831,2.374,0.839,2.963,0.947,1.597,3.246,0.456,3.56,4.431,2.595,1.25,3.106,0.619,3.339,1.9,2.624,0.867,-0.729,1.26,2.188,2.665,3.1,1.333,3.085,2.031,2.323,1.49,3.99,2.361,2.136,1.292,0.707,0.955,1.85,1.5,1.993,0.695,5.357,1.614,1.571,1.04,1.151,1.15,0.252,3.294,4.606,1.056,4.261,0.61,1.319,3.35,1.542,-1.843,1.676,1.668,0.869,3.466,2.391,0.164,4.664,0.867,0.303,1.653,1.031,2.236,2.934,2.719,3.16
1/25/04,0.047,1.351,0.384,0.909,0.636,2.304,1.879,1.739,-0.031,2.385,1.083,1.753,1.556,0.319,1.563,1.584,1.614,1.287,1.345,0.869,3.544,1.753,2.639,0.876,0.943,0.361,1.73,-0.354,-0.249,1.214,1.549,2.301,0.78,1.102,3.877,0.204,2.108,2.266,1.066,3.162,3.025,0.933,0.167,1.945,0.812,3.608,0.74,1.477,1.443,0.359,1.298,-0.754,1.588,2.19,1.832,0.942,1.541,3.198,1.86,2.614,1.455,0.331,2.64,0.612,0.056,0.72,1.457,-0.523,0.598,4.345,0.963,0.916,0.742,0.83,4.233,1.511,2.451,3.655,0.531,3.16,1.83,0.855,1.738,0.518,0.614,1.732,0.561,1.687,2.481,1.381,1.44,4.617,0.523,0.237,0.646,2.715,2.27,2.676,1.872,2.626
2/1/04,2.8,2.599,-0.212,0.805,1.062,2,2.392,1.087,0.584,1.246,1.499,1.078,1.147,0.51,1.423,1.031,-1.179,0.992,1.498,0.308,2.38,2.036,2.012,1.934,2.215,1.495,1.476,-0.456,0.768,2.382,1.465,2.056,-0.953,0.174,1.374,-0.336,1.15,1.406,1.698,1.956,1.873,2.86,-0.172,0.824,1.081,2.324,0.9,1.439,0.29,1.756,0.009,1.267,3.49,3.021,-0.072,1.9,0.343,2.427,1.781,1.896,1.364,0.226,2.766,1.061,0.072,0.328,1.748,1.917,0.243,4.735,2.255,1.377,0.861,0.054,1.411,1.505,2.742,4.123,0.05,2.519,0.319,0.679,0.888,1.259,1.591,1.656,0.289,1.098,1.621,1.183,3.021,3.531,0.2,-0.684,1.976,1.367,1.315,2.179,1.317,2.265
2/8/04,1.058,1.822,0.342,0.828,1.672,1.558,-0.813,1.432,0.34,2.359,2.144,1.107,1.178,0.214,1.934,0.433,1.692,1.889,2.447,0.399,2.173,1.807,4.907,2.898,2.141,1.05,1.504,0.538,2.056,1.139,1.942,3.46,1.929,1.056,1.951,-0.416,3.484,3.502,-0.102,3.394,1.761,0.725,0.237,2.522,1.421,2.254,2.116,2.392,0.481,1.136,0.307,2.749,2.382,1.75,-0.584,0.887,0.667,3.103,0.382,2.247,1.184,0.708,2.443,0.975,0.018,0.386,3.578,1.929,0.511,3.042,1.448,2.857,0.928,0.367,1.905,0.322,4.761,2.509,2.472,3.069,0.872,2.83,3.347,2.679,0.9,1.571,0.245,0.544,2.842,1.861,1.828,4.201,0.375,0.459,1.678,2.004,2.861,2.354,1.259,3.593
2/15/04,2.101,2.066,1.559,1.021,1.966,2.49,1.979,2.244,2.045,1.441,1.843,1.415,1.271,0.701,2.195,1.678,0.914,1.754,2.439,0.839,2.665,1.887,3.432,0.836,2.055,2.913,2.419,0.793,1.382,1.157,1.886,3.069,0.127,1.067,2.732,0.528,2.086,3.525,0.805,2.684,2.09,1.925,0.804,1.203,1.433,2.492,2.337,2.062,2.095,-0.31,0.405,1.802,2.405,0.672,0.208,1.878,2.279,2.718,0.573,2.414,1.701,1.153,2.341,0.016,0.226,0.602,2.27,0.112,0.573,4.088,2.887,2.006,1.212,0.195,2.7,2.598,1.741,3.798,0.9,3.976,0.769,2.511,3.84,3.633,-0.062,1.767,0.535,1.948,2.144,1.758,2.284,4.616,0.863,-1.077,1.854,2.056,2.301,2.836,1.414,2.712
2/22/04,1.197,2.21,-0.251,2.153,1.195,1.875,0.781,1.547,1.394,1.63,0.784,1.268,1.349,0.444,2.271,1.07,1.802,1.363,1.31,0.046,1.394,1.647,0.577,-0.535,2.087,1.034,1.896,1.318,1.134,0.455,1.891,0.665,0.692,0.665,2.093,0.478,2.691,0.778,0.928,1.976,2.117,1.055,1.292,0.453,1.233,1.907,2.116,1.709,0.955,2.101,-0.313,1.351,2.213,1.015,0.522,2.326,1.517,1.691,1.858,2.397,1.458,-0.462,1.295,0.633,0.234,0.88,3.706,1.824,0.277,3.163,1.246,3.3,1.229,0.298,2.476,1.238,1.962,2.682,0.507,1.499,-0.156,2.738,4.235,3.176,1.362,2.168,0.741,1.558,2.623,1.612,0.626,4.671,0.067,-0.882,2.769,1.824,0.724,2.415,0.501,4.16
2/29/04,3.086,2.75,1.008,1.052,0.933,2.063,1.356,1.866,2.131,1.924,1.281,1.99,0.907,0.041,1.774,1.355,0.179,1.655,1.527,1.099,1.376,1.379,1.735,2.794,0.817,0.843,2.933,0.384,0.378,2.613,1.861,2.596,2.03,-0.583,0.108,-0.428,1.006,1.283,4.565,1.688,1.975,1.288,0.917,2.568,1.336,1.676,3.84,1.455,2.267,0.453,0.506,1.002,0.745,2.443,3.84,1.671,0.013,0.843,2.194,1.991,1.677,1.111,-0.007,-0.361,0.658,0.227,1.186,-0.638,0.911,3.108,0.365,0.865,0.992,0.387,2.334,1.551,3.331,2.565,0.7,2.029,2.546,3.242,1.973,2.553,1.364,3.07,0.166,1.953,0.842,1.347,4.065,5.037,0.597,1.791,3.421,1.153,2.244,1.979,0.114,2.937
3/7/04,1.597,3.28,0.145,0.604,0.755,1.516,0.826,2.473,0.346,0.882,1.882,0.752,0.977,1.185,1.802,1.687,3.347,1.935,2.547,1.901,4.204,1.196,1.313,1.257,1.448,1.871,3.675,0.734,4.855,1.336,1.951,1.013,0.964,2.672,1.118,0.847,1.433,1.391,3.112,1,1.261,2.526,1.583,1.942,2.656,1.623,3.48,1.171,1.792,1.518,-0.002,1.251,4.394,1.265,0.579,3.433,-0.445,2.408,3.602,1.945,1.172,-0.423,0.97,2.157,0.693,-0.793,0.657,1.546,-0.278,1.584,2.239,0.442,1.609,0.668,2.434,3.487,0.854,1.303,0.859,1.564,0.432,0.666,2.46,-1.066,1.237,2.204,-0.888,1.023,1.446,1.297,-2.138,2.961,0.954,1.275,2.919,2.639,2.427,1.885,0.282,2.831
